Title,Category 1,Category 2,Category 3,Description
"Olympian Labs, Zinc, 30 mg, 100 Capsules",Olympian Labs Inc.,Zinc,Common Cold & Flu,"Non GMOVeganGluten FreeAdvanced Immune System SupportSupports Enzyme FunctionsHighly BioavailableDietary SupplementAllergen FreeOlympian Labs, Inc. products are made with the highest quality ingredients and manufactured according to current Good Manufacturing Practices (cGMP). "
"Y.S. Eco Bee Farms, Bee Pollen Granules, Whole, 16.0 oz (454 g)",Y.S. Eco Bee Farms,Bee Pollen,,"
Y.S. Eco Bee Farms 
""Nature's Most Balanced Food""
 Pure Wholesome, Low Moisture
Y.S. Organic 
Dietary Supplement

All Naturally occurring vitamins, minerals,  amino acids, carotenoids, bioflavonoids, phytosterols, fatty acids, enzymes & more "
"Herb Pharm, Maca, 1 fl oz (30 ml)",Herb Pharm,Maca,,"Lepidium MeyeniiSystem RestorationReproductiveUSDA OrganicHerbal SupplementMaca Liquid ExtractGluten FreeDry Herb / Menstruum Ratio: 1:3Certified Organic by Organic CertifiersPromotes Healthy Sexual Libido, Function & Fertility.Maca extract is prepared from the dried root of Certified Organic Lepidium meyenii plants. The plants are grown for us at an altitude of 12,000 to 15,000 feet in the central highlands of Peru.The herb is extracted in small batches with Certified Organic cane alcohol to maintain the balance of phytochemicals as they exist in the plant. We assure herb identity via macroscopic and organoleptic analysis, then confirm it through methods such as HPTLC fingerprinting specific to each herb. The formula is easily dispensed, taken in liquid form and added to water or other liquid."
"Nature Made, Folic Acid, 400 mcg, 250 Tablets",Nature Made,Folic Acid,,"#1 Pharmacist Recommended Vitamin & Supplement Brand*Dietary SupplementUSP® Verified400 mcg (665 mcg DFE)Important B Vitamin for Women of Childbearing AgeHelps Support Nervous System FunctionNo Color AddedNo Artificial FlavorsNo PreservativesGluten FreeAdequate folic acid in healthful diets may reduce a woman's risk of having a child with a neural tube defect.USP has tested and verified ingredients, potency and manufacturing process. USP sets official standards for dietary supplements. DFE = Dietary Folate Equivalents*Based on Pharmacy Times Survey of pharmacists recommending Letter Vitamin Supplements."
"Eclectic Institute, Freeze Dried Fresh, Turmeric, 395 mg, 90 Veg Caps",Eclectic Institute,Turmeric & Curcumin,,"For Peak Plant PowderDietary SupplementNo FillersWhole HerbsRawConcentrated 5xUS GrownGluten FreeVeganNon GMO100% KosherConcentrated 5 X Through Freeze-DryingFreeze Dried Fresh For Peak Plant PowerFreeze-drying keeps the plants' nutrients in the same balance as found in nature by gently removing only the water. From farm to bottle, we use naturopathic wisdom and innovative processes to create exceptional products."
"Some By Mi, V10 Multi Vita Cleansing Bar, 15,000 ppm, 106 g",Some By Mi,Bar Soap,K-Beauty Bath & Soap,"Brighten Up Your Skin ComplexionBrighteningMoisturizingSmoothing+Pure Vitamin C / 10 Multi VitaminsPure Vitamin C 15,000 PPM | Somebymi's Brightening Program formulated with 10 Multi-Vitamins including pure Vitamin C for farrier and softer skin. "
"Ecological Formulas, Allithiamine (Vitamin B1), 50 mg, 250 Capsules ",Ecological Formulas,B1,," Dietary Supplement Allithiamine contains a special form of vitamin B1 and other nutritional co-factors that are naturally occurring in garlic. This formula is free of corn soy, yeast, wheat,  phenol or other common food or chemical allergens."
"Sports Research, Women's Probiotics, Cranberry + Prebiotics, 30 Delayed Release Veggie Capsules",Sports Research,Probiotics,Women's Health,65 Billion Guaranteed16 Lacto + Bifido Bacteria StrainsDietary SupplementNon GMO Project VerifiedCertified VeganGluten & Soy FreecGMP Compliant3rd Party Quality Tested
"Amazing Grass, Green Blend, Energy, Lemon-Lime, 1.54 lb (700 g)",Amazing Grass,Greens & Superfood Blends,Energy Formulas,"Plant-Based Caffeine + 1 Serving Fruits & Veggies + 7 Nutritious GreensNaturally FlavoredWhole Food Dietary SupplementNatural EnergySupports ImmunitySupports Digestive HealthConvenient PowderGluten FreeNo Sugar AddedPlant BasedNon GMOKosherCCOF OrganicLemon-LimeThis energizing powder blend combines nutritious greens and wholesome fruits & veggies plus caffeine from Yerba Mate & Green Tea. Each scoop provides the caffeine equivalent to about a cup of coffee, without the crash, to help you feel amazing every day.*Nutrition Made Easy.Wheat GrassSpirulinaSpinachPineappleBarley GrassChlorellaBeet RootAçaí BerryAlfalfaBroccoliCarrotRaspberryPlus: Yerba Mate, Matcha Green Tea & Maca- Farm Family Roots -Our roots run deep, back to a 3rd generation family farm in Kansas. Today, we continue to use organically grown cereal grasses produced on U.S. family farms and craft them with high-quality, plant-based ingredients from around the world."
"Thorne Research, Neurochondria, 90 Capsules",Thorne Research,Cognitive & Memory Formulas,Acetyl L-Carnitine,"Dietary SupplementBrain/NervesGluten FreeNeurological health today is constantly being challenged by factors such as increased lifespan, environmental toxicity, and poor diet with resulting nutrient deficiencies. Thorne believes the foundation of neurological health is the health and efficacy of mitochondria – the cellular component that produces the body's energy. So it's crucial that the body's built-in antioxidant system effectively inhibits the free radicals that tend to be produced by the mitochondria. Thorne's Neurochondria formula is comprised of well-researched nutrients that support neurological health. Neurochondria provides antioxidant protection for sensitive neuronal tissue, it enhances neurotransmitter synthesis, optimizes mitochondrial energetics and cell membrane support, and promotes nerve cell function.Neurochondria was one of the first comprehensive neurological support formulations of its kind in the supplement market. Antioxidant protection for sensitive neuronal tissue is provided by R-lipoic acid and glutathione. Enhanced neurotransmitter synthesis is supported by acetyl-L-carnitine. Optimal mitochondrial energetics are supported by coenzyme Q10. Cell membranes are supported by phosphatidylserine, and enhanced nerve cell function is supported by benfotiamine, 5-MTHF, and methylcobalamin."
"MRM Nutrition, Whole Food, Organic Fiber with Enzymes and Prebiotics, 9.03 oz (256 g)",MRM Nutrition,Fiber Blends,Prebiotic Fiber (Inulin),Eco Friendly PackagingNutritionNon-GMO Project VerifiedGluten FreeCertified VeganUSDA OrganicDietary Supplement6 Grams of Organic Whole Food FiberSupports Cardiovascular HealthAssists with Digestive Health & RegularityCan Help Support Healthy Blood Sugar BalanceMay Help Weight Management & Appetite ControlCertified Organic by EcoCertDoes Not ContainSoy.Milk.Gluten.Psyllium.Preservatives.Refined Sugar.Sugar Alcohols.Animal Products.Fillers or Additives.Artificial Ingredients.
"Nordic Naturals, Nordic Omega-3 Gummies, Tangerine Treats, 41 mg, 120 Gummies",Nordic Naturals,Children's DHA & Omegas,,"82 mg Omega-3With Purified Fish OilNon GMO VerifiedThird-Party Purity TestedDietary SupplementIn the land of the Nordic Trolls, Sea Trolls are the best swimmers in the kingdom. Every day before sunrise, they swim out past the wave break to gather essential nutrients along the bottoms of deep Norwegian fjords to make Nordic Omega-3 Gummies™. These easy-to-chew treats provide omega-3 fish oil with a delicious tangerine taste for even the pickiest palates.Friend of the Sea certified.Every batch of Nordic Naturals fish oils is tested by a third-party certified lab for environmental toxins, including heavy metals. All fish oils are in the triglyceride form and surpass the strictest international standards for purity and freshness. Certificates of Analysis available upon request."
"Optimox, Iodoral, IOD-50, 50 mg, 30 Tablets",Optimox Corporation,Potassium,,High PotencyIodine/Potassium IodineContaining 50 mg Elemental Iodine Per TabletDietary SupplementIodoral® provides lodine as lodine and Potassium lodine.
"NOW Foods, Oregano Oil, 90 Softgels",NOW Foods,Oregano Oil Supplements,Common Cold & Flu," Intestinal Support Min. 55% Carvacrol Enteric Coated A Dietary Supplement Botanicals/Herbs Family Owned Since 1968 GMP Quality AssuredOregano, also known as Wild Marjoram, is a spicy, aromatic culinary herb that has also been well known by traditional herbalists for thousands of years. More recent scientific studies suggest that Oregano Oil may help to maintain healthy intestinal flora balance. NOW Oregano Oil is standardized to ensure a minimum of 55% Carvacrol and the softgels are enteric coated so that the contents are released in the intestine."
"Organic Traditions, Ahiflower Oil Omega 3-6-9, 90 Vegetarian Softgels",Organic Traditions,"EFA, Omega 3-6-9 Combinations",,"Eco-Conscious Not From Fish100% Plant-Based Omega 3 (ALA Plus SDA)Up To 4 Times Greater EPA Conversion Than Flax Seed OilMore Effective Omega 3 & 6 Than Flax, Chia, or Hemp Seed Oil4:1 Omega 3 to Omega 6 Ratio Dietary SupplementBetter Than Flax. Not The Fish.® A New Generation In Superior Plant-Based OmegasAhiflower® oil is the richest and most effective combined Omega-3 (SDA and ALA) and Omega-6 (GLA and LA) fatty acid source from a single non-GMO plant found in nature. While there are many sources of plant based Omega-3 ALA such as flax, chia, sacha inchi and hemp seed oils, Ahiflower® oil is the richest source of SDA (stearidonic acid) which converts more efficiently to the Omega 3 fatty acid EPA that is found in fish oil. A human clinical trial found that Ahiflower® oil has up to a 3-4 times greater conversion rate to Omega 3 EPA compared to flax seed oil. Ahiflower® oil also contains beneficial Omega 6 gamma linolenic acid (GLA). A true Omega 3 and Omega 6 powerhouse with ALA, SDA and GLA, delivering a healthy 4 to 1 balance of Omega 3 to Omega 6, Ahiflower® oil is the most eco-conscious, sustainable way to get the benefits of EPA found in fish oil from a vegan, plant-based source. "
"Sun Chlorella, Chlorella Supplement, 200 mg, 300 Tablets",Sun Chlorella,Chlorella,,"Pulverized Cell Wall by DYNO®-MillNon GMO Project VerifiedCertified Gluten-FreeExcellent Source of Active B12Informed Choice - We Test • You TrustExclusive Pulverized Chlorella®For over 50 years, our commitment to quality and purity has secured Sun Chlorella as a worldwide industry leader of chlorella.Sun Chlorella uses the nutritionally superior species of Chlorella pyrenoidosa that is Pulverized by DYNO®-Mill. This exclusive process of breaking down chlorella's tough outer cell wall promotes bioavailability, digestion, and assimilation of Sun Chlorella®'s nutrients.Sun Chlorella® is the only chlorella to contain a 90% pulverized cell wall without using heat or chemicals. Join millions of health conscious individuals and take Sun Chlorella® every day!"
"Sunfood, Organic Turmeric Powder, 4 oz (113 g)",Sunfood,Turmeric & Curcumin,,Super FoodsAncient Herbal SuperfoodVeganGluten-FreeKosherUSDA OrganicNon GMO Project VerifiedCertified Organic by CCOFThe Sunfood™ DifferenceOrganic turmeric powder is an incredible superfood native to Asia. It has been used for thousands of years as a flavor enhancing spice and a health boosting herb in traditional Indian and Chinese cultures.Turmeric powder naturally contains a powerful compound called curcumin making it a wonderful addition to any diet.This golden spice has a strong enticing flavor with aromatic scents of ginger and orange. Enjoy a dash of turmeric in your post-workout smoothie or to spice up your favorite recipe.Sunfood™ Organic Turmeric Powder has no additives and is minimally processed to retain its potency.
"Choice Organic Teas, Herbal Tea, Mandarin Ginger, Caffeine Free, 16 Tea Bags, 1.02 oz (29 g)",Choice Organic Teas,Ginger Tea,Herbal Tea,"USDA OrganicSweet & SpicyLive FullySit Back and EnjoyNon GMO Project VerifiedCertified B CertifiedKosherCertified Organic by QAITake the time to engage, recharge, and focus on what makes a whole you - one cup of Choice Organics® tea at a time.We blend the best tasting tea so that you can give the world the best of you, not what's left of you.Mandarin GingerSmooth. Citrusy. The complex flavor and aroma of ginger in every sip. This is Mandarin Ginger.Sweet and spicy. Bright citrus and floral honeybush balance the warm ginger notes.Tea with IntentionWe put utmost care and attention into every blend so you can give the world your best self.We choose better-for-you ingredientsWe source exclusively from organic and non-GMO growers around the world.We choose to care for the planetFrom blending to packaging, we commit to reducing our environmental impact."
"Thorne Research, Biotin-8, 60 Capsules",Thorne Research,Biotin,," Dietary Supplement Foundational Skin/Hair Gluten FreeBiotin is a water-soluble B vitamin that can have a beneficial effect on a number of structures and functions in the body. In a clinical trial, 45 patients with brittle fingernails received oral supplementation of 2.5 mg biotin for 1.5-7 months. Ninety-one percent showed ""definite improvement,"" exhibiting firmer, harder fingernails after an average of two months of supplementation.Biotin in a higher amount, such as Is present in Thorne's Biotin-8, supports glucose metabolism by stimulating glucose-induced insulin secretion in pancreatic beta cells and by accelerating glucose metabolism in the liver. Biotin also enhances muscle insulin sensitivity by increasing uptake of glucose by the muscle cells."
"Life Extension, Only Trace Minerals, 90 Vegetarian Capsules",Life Extension,Trace Minerals,,"Mineral BoosterDietary SupplementNon-GMO LE CertifiedGluten FreeTrace minerals play an important role in hundreds of body functions, from immune system support to healthy bones and joints. Only Trace Minerals provides bioavailable forms of minerals in one convenient supplement.Our bodies only need small amounts of trace minerals, but they are still vital to our health.Only Trace Minerals BenefitsSupports healthy body functionPromotes healthy immune functionHelps maintain already-healthy blood sugar levelsWhat is chromium?Chromium plays an important role in maintaining healthy blood sugar levels in those within normal range when used as part of a healthy diet.Why add vanadyl sulfate?This form of the trace mineral vanadium promotes thyroid health, iron metabolism, and may support already-healthy glucose & blood pressure levels.Zinc stimulates the activity of approximately 300 enzymes. Zinc also promotes immune function, taste sensitivity, protein, DNA and RNA synthesis, healthy insulin response and more. Age-related declines in immune function are associated with zinc deficiency. Certain aspects of immune function in the elderly have been found to be supported with zinc supplementation.Chromium plays an important role in maintaining healthy blood sugar levels in those within normal range when used as part of a healthy diet.Boron is an essential nutrient for supporting optimal calcium metabolism as well as healthy bones and joints. Boron intake may also support a healthy prostate. It's been shown to help inhibit oxidative stress and support the body’s normal use of reproductive hormones and vitamin D.Vanadyl sulfate is an effective form of the trace mineral vanadium. Research indicates vanadyl sulfate may support insulin response and help maintain already-healthy glucose metabolism. Research also indicates vanadium salts may help maintain already-healthy blood pressure, thyroid health and iron metabolism.Copper is required by the body to convert iron into a form that can be utilized by hemoglobin, and is an essential constituent of many important enzymes, including superoxide dismutase, a major cellular antioxidant. It’s also needed for normal immune function and synthesis of certain proteins. People who consume over 50 mg of zinc daily and/or a high level of fructose are advised to supplement their diet with 2 mg copper several times per week."
"Julian Bakery, InstaKetones Potassium, 0.91 lbs (414 g)",Julian Bakery,Potassium,,"PaleoNo Sodium KetonesKeto FriendlyNo Animal ByproductsNo Artificial Colors or FlavoringsNo PreservativesApproved for IKDiet® - Phase 1 & Phase 2Gluten FreeVeganDairy FreeGMO-FreePotassium 19 K 39.098Dietary Supplement30 ServingsPer Serving:10 g of BHB30 Calories3.8 g Potassium0 g Fat InstaKetones® is a true game changer in helping you reach and maintain your ideal weight. InstaKetones Potassium contains no Sodium Ketones! It can dramatically increase endurance and promote a leaner more sculpted look in conjunction with the IKDiet® and exercise plan. It can boost measurable blood ketones by up to 2.0 mmo/L within 40 minutes.Ketones are a super fuel used by the muscles and the brain, where they generate more energy (ATP) per unit of oxygen consumed than do carbohydrates, protein, or fat. InstaKetones Potassium has 10 grams of the ketone body Beta-Hydroxybutyrate (BHB) per serving and no artificial sweeteners, flavorings or colors. Consumption of InstaKetones before exercise can result in significant decreases in oxygen demand and increases in performance - and may also heighten mental acuity and performance.InstaKetones Potassium is excellent for ketogenic dieters who need energy but must limit carbohydrate intake. InstaKetones may also be used by individuals who consume carbohydrates to provide an additional energy source and limit exercise induced glycogen depletion."
"Oregon's Wild Harvest, Nettle Quercetin, 60 Capsules",Oregons Wild Harvest,Nettle,,"Herbal SupplementSince 1994Support During Allergen ExposureVerified Non-GMO Ingredients‡Gluten FreeDid you know?Your body's normal immune response to spring, summer, fall and even winter can often feel like a full frontal challenge. The beauty of Quercetin and freeze-dried Nettle is their ability to support your body's normal histamine-producing response.We care about the future of mankind and the planet we call home. As certified organic farmers we grow many of the herbs found in our products. Our regenerative practices heal the land, sequester carbon from the atmosphere and ensure that pure, potent herbal medicine is available today and for future generations. Peace.‡Product verified non-GMO by SGS"
"Etude, Lash Perm Curl Fix! Mascara, Long Lash, 0.28 oz (8 g)",Etude,Mascara,K-Beauty Makeup,"24 HR Curling Fix Dramatic Long Lash Zero Smudge This product expresses dramatically long lashes. The feather-light fiber lengthens the eyelashes, and the Curl 24-HR technology keeps curled-up lashes stay fresh for 24 hours. "
"Paradise Herbs, Pea Protein, Unflavored, 16 oz (454 g)",Paradise Herbs,Pea Protein,,"Premium Quality For Over 25 Years Keto + Paleo + Vegan Friendly Gluten Free Made With Non-GMO Ingredients Dietary Supplement Enhancing Nature's Miracles - Since 1994 GMP Quality AssuredEnhanced with Aminogen® enzyme formula proven to increase protein digestibility and amino acid absorption! Paradise Pea Protein is a complete source of vegan, hypo-allergenic protein. Pea protein is easily assimilated and has a sustained release transit time, which means it has excellent digestibility and keeps working. We have further enhanced our formula with the addition of the plant derived enzyme Aminogen®. Research shows Aminogen® increases branched-chain amino acids by 250%, plasma amino acid levels over 100%, glutamine levels by 90%, arginine levels by 80%, and nitrogen retention by 32%. It also promotes lean body mass, aids in muscle recovery, and may provide less gas, bloating and constipation."
"I'm From, Pear Soothing Pad, 60 Pads, 4.22 fl oz (125 ml)",I'm From,Toners,"K-Beauty Cleanse, Tone & Scrub","Open CompositionHonest FarmNatural TextureI'm From Pear Soothing Pad contains wild pears as a main ingredient which are grown at Baegun Mountain in Korea. Unbleached pure cotton pads with wild pear extract, which contains all of the active ingredients of wild pear extracted by Nano Phyto Cell Grinder™ gives moisture and a cooling effect."
"Christopher's Original Formulas, X-INFX, 440 mg, 100 Vegetarian Caps",Christopher's Original Formulas,Herbal Formulas,,Dietary SupplementKosherGMP - Good Manufacturing PracticeGluten-FreeNon-GMOVegan100% VegetarianDairy-FreeSugar-FreeA synergistic blend of herbs for the lymphatic system.Christopher's Original Formulas time tested X-INFX formula supports the body's lymphatic system which is helpful to promote overall health.
"Carlson, Kid's Vitamin C Gummies, Natural Orange, 125 mg, 60 Vegetarian Gummies",Carlson,Children's Vitamin C,Ascorbic Acid,"Dietary SupplementIgen Non-GMO TestedImmune SupportAntioxidant PowerOptimal WellnessGluten-FreeSoy-FreeNo Artificial PreservativesPotency & Quality GuaranteedAn FDA Regulated FacilityCarlson - Providing the Highest Quality Nutritional Supplements Since 1965Kid's Vitamin C Gummies are the simplest way to fuel your kids with the vitamin C they need to nourish their growing bodies and support their immune systems. Kid's Vitamin C Gummies contain no artificial flavors, sweeteners, or dyes."
"Life Extension, Standardized Cistanche, 30 Vegetarian Capsules",Life Extension,Herbs,Immune Formulas,"Gluten FreeNon GMO LE CertifiedImmune Senescence ProtectionDietary SupplementContaining the same echinacosides as the Immune Senescence Protection Formula™, Standardized Cistanche helps promote a healthy inflammatory response and maintain already-healthy blood pressure. Encouraging healthy T-cell development, our formula also helps maintain a healthy immune response and promotes longevity.Take steps today to support longevity and youthful immune function by supplementing with Standardized Cistanche.Standardized Cistanche BenefitsHelps maintain healthy immune functionSupports blood pressure already within normal rangeEncourages healthy glucose metabolismPromotes longevityStandardized Cistanche That Isn't So StandardPrimarily known for supporting longevity, our formula utilizes the plant extracts found in Cistanche to support more than just healthy aging factors. As a means of supporting an already-healthy inflammatory response and blood pressure, the echinacosides in this plant extract encourage healthy nervous system function for optimal immune senescence protection.Standardized Cistanche provides powerful support against immune senescence. Researchers have found evidence that Cistanche extracts help support healthy glucose metabolism, promote a healthy inflammatory response and maintain already-healthy blood pressure and lipid levels.Scientists have discovered that the echinacoside compound found in Cistanche plant extract stimulates the development of naive T cells and leads to a lower amount of memory T cells, thereby supporting a healthy immune response. Cistanche polysaccharides have also demonstrated positive modulatory effects on T cells and may support vaccine responsiveness. Cistanche also increased natural killer (NK) cell activity, resulting in a 15% life span increase in animal research. In addition, Cistanche and echinacoside have been found to scavenge free radicals, maintain healthy nervous system function and promote longevity.A 12-week human study of a dietary supplement containing standardized Cistanche showed that it encouraged impressive immune factor support after supplementation. Subjects had a 11.7% increase in natural killer (NK) cell activity and a 20.2% increase in the ratio of CD4 to CD8 cells. An increased CD4/CD8 ratio is indicative of healthy, youthful immune function.For those seeking the effects of Cistanche only, Life Extension® has created a standalone standardized Cistanche that contains the same echinacosides as in the Immune Senescence Protection Formula™."
"California Gold Nutrition, Antarctic Krill Oil, Omega-3 Phospholipids Complex with Astaxanthin, Natural Strawberry and Lemon Flavor, 1,000 mg, 120 Softgels",California Gold Nutrition,Krill Oil,,"California Gold Nutrition Antarctic Krill Oil, 1000 mgFeaturing Omega-3 Phospholipids with Naturally Occurring Astaxanthin (Not Fortified)Formulated with RIMFROST Antarctic Krill Oil Sourced from the Pristine Southern OceanHelps Support Healthy Heart, Brain, Eyes, and Liver*Natural Strawberry and Lemon Flavor♦Formulated without Gluten, GMOs, or SoyProduced in a 3rd Party Audited cGMP Registered (Certified) Facility100% Gold GuaranteeKrill oil is derived from a small shrimp-like marine animal and is known for its potential health benefits due to the naturally occurring omega-3s, phospholipids, and astaxanthin present in it. California Gold Nutrition Antarctic Krill Oil contains premium krill oil in a convenient daily supplement to help support a healthy heart, brain, eyes, and liver.*Benefits of Krill OilKrill oil has gained attention not only for the beneficial omega-3 fatty acids it contains, but also for its bioavailability and the presence of an antioxidant known as astaxanthin. Research suggests that the bioavailability of krill oil may be high because much of the EPA and DHA are bound to phospholipids which aid in the efficient transfer of essential nutrients to the body’s cells.* The omega-3 phospholipids and astaxanthin in krill oil may help to support healthy function of the heart, brain, eyes, and liver.*California Gold Nutrition Antarctic Krill Oil features RIMFROST Krill Oil with naturally occurring (not fortified) astaxanthin that is sourced responsibly from the pristine waters of the Southern Ocean.  The krill oil is contained within fish gelatin softgels that use a natural strawberry and lemon flavored coating to help mask natural krill oil aroma. When taken as directed, this provides approximately a 4-month supplyiHerb Blog:12 Health Benefits of Krill OilFish Oil vs Krill Oil: Which is Best for You?Nutrient Highlight - AstaxanthiniTested Verified "
"NaturesPlus, Hema-Plex Liquid, Mixed Berry, 8.5 fl oz (250 ml)",NaturesPlus,Iron,Blood Support Formulas,"Iron with Essential Nutrients for Healthy Red Blood CellsDelicious Mixed Berry FlavorGentle, Mild, EffectiveEasy on the Stomach18 mg of IronProven ResultsVeganNon GMODietary SupplementNutritional Support for Healthy BloodFerrochel™Albion MineralsHema-Plex Liquid Iron: Gentle, Fast and Effective!Get Your Energy Back!Iron deficiency is a well-known health issue threatening most women of childbearing age; however, the shortage of bioavailable iron also affects athletes, the elderly and vegetarians, and is particularly problematic in pre-teens and teens. Worldwide, iron deficiency is ranked as one of the top health problems - one that can be easily and quickly reversed!Iron deficiency tell-tale symptoms can include: lack of energy, physical weakness, pale skin tone, dark circles under the eyes, thinning hair, brittle nails, shortness of breath, and cold hands and feet.Hema-Plex® Liquid Iron is the gentle, effective way to help increase your iron levels while promoting overall blood health.Each great-tasting serving provides 100% of the Recommended Daily Value (DV) for iron (67% DV if pregnant) along with the synergistic cofactors vital for optimal utilization.Gentle and Non-Binding - Made with Ferrochel™ Iron, clinically superior to other forms of iron.Superior Absorption - Better absorbed and utilized.Essential Cofactors and Targeted Antioxidants - Synergistic nutrients for optimal iron activity."
"Jarrow Formulas, Curcumin Phytosome, 500 mg, 60 Veggie Caps",Jarrow Formulas,Turmeric & Curcumin,,"Meriva®Provides Antioxidant SupportDietary SupplementVeganNon-GMO Certified by NSFMeriva®, a phytosome form of curcumin, is a patented ingredient consisting of curcumin (turmeric extract) bound to phosphatidylcholine for increased absorption. Curcumin and its metabolites provide antioxidant support to minimize oxidative stress."
"Perioe, Himalaya Pink Salt Pumping Toothpaste, Floral Mint, 10 oz (285 g)",Perioe,Toothpaste,K-Beauty Personal Care,Free From FluorideVeganCruelty FreeRemoves PlaqueRemoves StainsUses: Helps prevent plaque and tartar buildup with regular brushing.
"Nature's Way, Sambucus Elderberry, Zinc Lozenges with Vitamin C, Original Elderberry, 24 Lozenges",Nature's Way,Zinc,Common Cold & Flu,"USDA OrganicGluten FreeGreat TasteDietary SupplementKosherNo Artificial Preservatives, Flavors, or ColorsCertified Organic by Quality Assurance InternationalAbout Black ElderberryFor centuries the dark berried of European black elder (Sambucus nigra L.) have been traditionally used as a winter remedy for immune support.Standardized ExtractMade with our unique, full-spectrum black elderberry extract that is form a unique blend of black elderberries that are naturally richer in Flavonoid BioActives®.Gentle, solvent-free extraction ensures maximum flavonoid potency.Triple-Action Immune BlendEach lozenge provides 12.5 mg of Black Elderberry Extract.Plus excellent source of Zinc (5 mg) and Vitamin C (60 mg).Certified OrganicMade with organic black elderberry and sweetened with organic tapioca syrup and organic cane sugar."
"Kyolic, Aged Garlic Extract, Reserve, 60 Capsules",Kyolic,Garlic,,"OdorlessOrganically GrownContains Aged Garlic ExtractDoctor DevelopedClinically StudiedQuality TestedHerbal SupplementGMP CertifiedFormula 200 is a convenient, high-potency formula of Aged Garlic Extract™ that supports healthy cholesterol levels which are already within normal ranges, overall heart health and the immune system.Kyolic® Aged Garlic Extract™ (AGE) starts with organically grown garlic. It is then aged using a proprietary process which removes odor-causing compounds attributed to raw garlic and increases the bioavailable beneficial compounds."
"Innisfree, Intensive Triple-Shield Sunscreen, SPF50+ PA++++, 1.69 fl oz (50 ml)",Innisfree,Sunscreen,K-Beauty Personal Care,Coral Reef FriendlyA water-resistant sunscreen with a matte finish that glides on smoothly and easily.
"Elizavecca, Hell-Pore Clean Up, AHA Fruit Toner, 6.76 fl oz (200 ml)",Elizavecca,Toners,"K-Beauty Cleanse, Tone & Scrub","Active Ingredients: Niacinamide, AdenosineProperties: Help Skin Brightening. Help to Improve the WrinkleIt's a multi-purpose toner, that does everything from clearing away deep-seated impurities, toning the skin, and gently sloughing off dead skin cells from your skin's surface! Elizavecca's purifying Hell Pore Clean Up AHA Fruit Toner contains premium fruit extracts, and both BHA and AHA to thoroughly cleanse, exfoliate, and hydrate the skin! As dry, old skin is swiped away, your skin is refreshed and rejuvenated as a result of improved cell-renewal. Healthy, conditioned skin is the key to any flawless beauty look!"
"CP-1, Ginger Purifying Conditioner, Repairs Scalp, Damaged Hair, 500 ml",CP-1,Conditioner,K-Beauty Hair Care,"Repairs Scalp, Damaged HairGinger Root oil, Propolis Extract and Honey Extract soothe scalp irritation, leaving the scalp calm and refreshingly revived.A conditioner that compensate the lacking nutrients in tired and damaged hair with ginger oil, and ginger extract.It prevents and improve the hair damage, while the honey extract,propolis extract, royal jelly extract make the hair moire healthy and lustrous."
"Etude, Manuka Honey Beauty Mask, 1 Mask, 0.67 fl oz (20 ml)",Etude,Hydrating Masks,K-Beauty Face Masks & Peels,"Emulsion TypeRich MoisturizationAir-Light Mask Comfortably Adheres to Skin!0.2 Air MaskThe daily low-irritant mask made of breathable 0.2mm air sheet effectively delivers 7 free essence to your skin.The mask containing Manuka honey rich in moisture and nourishment and Adenosine with wrinkle improvement function makes skin elastic by providing moisture and elasticity to dry, flaky skin."
"Gaia Herbs, Hawthorn Supreme, 120 Vegan Liquid Phyto-Caps",Gaia Herbs,Hawthorn,,Heart Support Traditionally for Maintaining a Healthy & Happy Heart Herbal Supplement Certified B Corporation Vegan Gluten-Free Soy-Free 
"Kyolic, Aged Garlic Extract, Immune, Formula 103, 200 Capsules",Kyolic,Garlic,Immune Formulas,"Odorless Organic Garlic SupplementVitamin C, Astragalus, MushroomsGMP CertifiedKyolic® Aged Garlic Extract™ begins with 100% organically grown garlic from California. It is then aged to perfection in a unique extraction process to eliminate odor and create beneficial compounds found only in Kyolic. This combination of vitamins, mushrooms and herbs helps to support healthy immune function.Take the best—Kyolic Aged Garlic Extract, the most scientifically researched, highest quality and best-selling odorless Sociable Garlic®."
"Bio Nutrition, Healthy Hair with Biotin 10,000 Plus, 60 Vegetarian Capsules",Bio Nutrition,Biotin,," Once Daily Helps Prevent Hair Loss Promotes Hair Growth and Thickness Dietary Supplement Vegetarian Halal Food CouncilBiotin, also known as vitamin H is essential for the  metabolism of fats and proteins and is necessary for healthy hair and nail  growth. Bio Nutrition uses the finest quality Biotin in a synergistic blend  with complex B vitamins and minerals formulated to promote healthy hair growth  and texture."
