Title,Category 2,Category 3,Supplement Facts
"Flora, Swedish Bitters, 8.5 fl oz (250 ml)",Herbal & Swedish Bitters,Digestive Bitters,"Supplement FactsServing Size: 1 tsp. (5 ml)Servings Per Container: 50 Amount Per Serving %Daily ValueProprietary BlendAqueous extracts of angelica root, zedoary root, cape aloe leaf, manna sap, rhubarb (rheum palmatum) root, senna leaf, myrrh resin, carline thistle root, camphor wood, valerian root, cinnamon bark, cardamom seed, saffron flower.409 mg††Daily Value not established."
"Thorne Research, L-Glutamine Powder, 18.1 oz (513 g)",L-Glutamine,,Supplement FactsServing Size: One Scoop (5.7 g)Servings Per Container: 90 One Scoop (5.7 g) Contains:%DVL-Glutamine5 g**Daily Value (DV) not established.
"BPI Sports, Zinc, 50 mg, 120 Tablets",Zinc,,"Supplement FactsServing Size: 1 TabletServings Per Container: 120 Amount Per Serving%Daily ValueZinc (as Zinc Gluconate, Zinc Citrate)50 mg455% "
"American Health, Ester-C with Citrus Bioflavonoids, 250 mg, 120 Capsules",Ester-C,Common Cold & Flu,"Serving Size: 2 CapsulesServings Per Container: 60 Amount Per Serving % Daily Value Vitamin C(as Ester-C® Calcium Ascorbate)1,000 mg (1 g)1,111%Calcium(as Ester-C® Calcium Ascorbate)110 mg8%Citrus Bioflavonoids ComplexCitrus Bioflavonoids (Citrus limon) (fruit), Sweet Orange,Tangerine, Lime, Lemon, Acerola, Rutin, Hesperidin Complex(Citrus spp.) (fruit), Naturally Occurring Vitamin C Metabolites400 mg****Daily Value not established."
"Harney & Sons, Hemp Moringa, Deep Sleep, Wellness Tea & Herbs, 10 oz (283 g)",Medicinal Teas,Herbal Tea,
"Enzymedica, Lacto, Most Advanced Dairy Digestion Formula, 30 Capsules",Digestive Enzymes,,"Supplement FactsServing Size: 1 CapsuleServings Per Container: 30 Amount Per Serving%DVLactase9,500 ALU**Amylase Thera-blend™7,500 DU**Protease Thera-blend™25,000 HUT**Glucoamylase25 AGU**Maltase350 DP°**Lipase Thera-blend™686 FIP**Cellulase Thera-blend™300 CU**Alpha Galactosidase50 GalU**Invertase76 SU****Daily Value not established."
"Jarrow Formulas, L-Carnitine 500, 500 mg, 100 Veggie Licaps",L-Carnitine,,Supplement FactsServing Size: 1 Vegetarian Licap®Servings Per Container: 100 Amount Per Serving% DVL-Carnitine (free base)500 mg††Daily Value not established.
"Sports Research, Sweet Sweat Workout Enhancer, 6.5 oz (184 g)",Workout Enhancers,,
"Universal Nutrition, ZMA Pro, 90 Capsules",Zinc Magnesium Aspartate,,Supplement FactsServing Size: 3 CapsulesServing Per Container: 30 Amount Per Serving%DVVitamin B6 (as pyridoxine HCI)10.5 mg618%Magnesium (as aspartate)450 mg107%Zinc (as I-monomethionine and aspartate)30 mg273%
"Mason Natural, Vitamin K, 100 mcg, 100 Tablets",Vitamin K,,Supplement FactsServing Size: 1 Tablet Amount Per Serving% Daily ValueVitamin K (phytonadione)100 mcg83%
"Advanced Orthomolecular Research AOR, Advanced Magnesium Complex, 90 Capsules",Magnesium,,"Supplement FactsServing Size: 1 CapsuleServing Per Container: 90Per CapsulePer Day (3 Capsules) Amount Per Serving% Daily ValueAmount Per Serving% Daily ValueVitamin C (from magnesium ascorbate)100 mg111%300 mg333%Magnesium (from magnesium glycinate, ascorbate, malate, and aspartate)100 mg25%300 mg70%Glycine (from Magnesium Glycinate)480 mg†1,440 mg†Aspartate (from Magnesium Aspartate)50 mg†150 mg†Malate (from Magnesium Malate)50 mg†150 mg††Daily Value not established."
"Source Naturals, High Potency B-1, 500 mg, 100 Tablets",B1,,"Supplement FactsServing Size: 1 Tablet Amount Per Serving%DVThiamin (vitamin B-1)500 mg41,667%Magnesium (as magnesium citrate, malate, oxide & succinate acid complex)100 mg4%"
"Jarrow Formulas, Resveratrol, 100 mg, 120 Veggie Caps",Resveratrol,,Supplement FactsServing Size: 1 Capsule Amount Per Serving% DVVitamin C (as ascorbic acid)100 mg111%Resveratrol (from Tiger Cane Root)(Min. 90 mg trans-resveratrol)(Polygonum cuspidatum)100 mg††Daily Value (DV) not established.
"Kyolic, Aged Garlic Extract, CoQ10, Formula 110, 100 Capsules",Coenzyme Q10 (CoQ10),Heart Support Formulas,Supplement FactsServing Size: 2 CapsulesServings Per Container: 50 Amount Per Serving%Daily ValueAged Garlic Extract™†† Powder (bulb)600 mg**Coenzyme Q1060 mg****Daily Value not established†† Special Garlic Preparation
"Viva Naturals, Vitamin C, 1,000 mg, 250 Veggie Capsules",Vitamin C,,"Supplement FactsServing Size: 1 Vegetarian CapsuleServings Per Container: 250 Amount Per Serving%Daily ValueVitamin C(Proprietary Blend of L-Ascorbic acid, Citrus Bioflavonoids [Citrus sinensis, peel], Rose Hips [Rosa canina, fruit])1000 mg1111%"
"Life Extension, NitroVasc Boost, Berry Flavor, 30 Stick Packs",Inositol,Blood Support Formulas,Supplement FactsServing Size: 1 Stick Pack (3.14 g) Amount Per Serving% Daily ValueInositol-stabilized Arginine Silicate [as Nitrosigine®]1500 mg **Aronia [Aronia melanocarpa(fruit) std. to ≥ 2% total polyphenols500 mg ****Daily Value not established.
"Kyolic, Kyo-Dophilus, Daily Probiotic, 3 Billion CFU, 360 Capsules",Probiotics,Immune Formulas,"Supplement Facts Serving Size: 2 capsules Servings Per Container: 180 Amount Per Serving% Daily ValueProprietary BlendLactobacillus gasseri KS-13, Bifidobacterium bifidum G9-1, Bifidobacterium longum MM-23 billion live cells†**** Daily Value not established† Prior to Expiration"
"Nature's Truth, E-Oil, Lemon, 30,000 IU (13,500 mg), 4 fl oz (118 ml)",Vitamin E Oils,,
"Nature's Way, Vitamin C with Bioflavonoids, 1,000 mg, 250 Vegan Capsules",Vitamin C,Common Cold & Flu,"Supplement FactsServing Size: 1 Capsule Amount Per Serving% Daily ValueVitamin C (ascorbic acid)1 g1,111%Citrus bioflavonoid complex (from orange, grapefruit, lemon, lime, tangerine)50 mg****Daily Value (DV) not established."
"Kyolic, Aged Garlic Extract, Blood Sugar Balance, 100 Capsules",Chromium,Blood Support Formulas,"Supplement FactsServing Size: 2 capsulesServings Per Container: 50 Amount Per Serving%Daily ValueNiacin (as nicotinic acid)13.2 mg83%Chromium (as chromium picolinate)90 mcg257%Aged Garlic Extract™†† Powder (bulb)600 mg**Salacia Extract (Salacia reticulata, bark)150 mg**Bitter Melon Extract (Momordica charantia, fruit)120 mg****Daily Value not established†† Special Garlic Preparation"
"Youtheory, Turmeric, 120 Tablets",Turmeric & Curcumin,,"Supplement FactsServing Size: 3 tabletsServing Per Container: 40 Amount Per Serving:% Daily ValueTurmeric (rhizome) (Curcuma longa) extract(95% curcuminoids, 427 mg) Curcumin C3 Complex®450 mg**Olive (leaf) extract300 mg**Black Pepper (fruit) extract(95% piperine, 14 mg) BioPerine®15 mg****Daily Value not established"
"Wiley's Finest, Wild Alaskan Fish Oil, Prenatal DHA, 600 mg, 60 Fish Softgels",Pre & Post-Natal Formulas,,"Supplement FactsServing Size: 2 SoftgelsServings Per Container: 30 Amount Per Serving% Daily Value*Calories15 Total Fat1.5 g2%Cholesterol15 mg5%Concentrated Fish Oil1200 mgEPA (Eicosapentaenoic Acid)120 mg**DHA (Docosahexaenoic Acid)600 mgOther Omega-3 Fatty Acids60 mg*The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.**Daily Value not established"
"Pure Protein, Protein Bar, Chocolate Peanut Caramel, 12 Bars, 1.76 oz (50 g) Each",Whey Protein Bars,Milk Protein Bars,"Supplement FactsServing Size:  1 Bar (50 g)Servings Per Container: 12 Amount Per Serving%Daily Value*Calories190 Total Fat6 g8%Saturated Fat4 g20%Trans Fat0 g Cholesterol15 mg5%Sodium210 mg9%Total Carbohydrate16 g6%Dietary Fiber<1 g2%Total Sugars2 g Includes <1 g Added Sugars1%Sugar Alcohol8 g Protein20 g34%Vitamin D0 mcg0%Iron0.6 mg4%Calcium130 mg10%Potassium95 mg2%*The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice."
"Simply Organic, Single Origin, Guatemalan Turmeric, 2.05 oz (58 g)",Turmeric Spices,,
"Pure Essence, BrainEssence, 60 Tablets",Cognitive & Memory Formulas,,"Supplement FactsServing Size: 2 TabletsServing Per Container: 30 Amount Per Serving%Daily ValueAcetyl-L-Carnitine500 mg*Bacopa monnieri extract (whole herb)300 mg*Organic Ashwagandha extract (root) (KSM-66®)200 mg*Mucuna pruriens (seed)200 mg*Schizandra extract (fruit and seed)200 mg*Phosphatidylserine (Sharp PS®, soy-free)100 mg*Alpha lipoic acid100 mg*Gotu kola extract (leaf)75 mg*Rhodiola extract (RhodioLife® - Certified Standardized Siberian Rhodiola root extract)50 mg*Fisetin extract (stem) (Novusetin®)10 mg*Chinese club moss extract (whole herb) (1% huperzine-A)100 mcg**Daily Value (DV) not established."
"Nature's Way, Zinc Chelate, 30 mg, 100 Capsules",Zinc,Common Cold & Flu,Supplement FactsServing Size: 1 Capsule Amount Per Serving% Daily ValueZinc (as Zinc bisglycinate chelate)30 mg273%Daily Value (DV).
"Thorne Research, Iodine & Tyrosine, 60 Capsules",L-Tyrosine,Iodine,Supplement FactsServing Size:  One Capsule One Capsule Contains:%Daily ValueIodine (as Potassium Iodide)225 mcg150%L-Tyrosine500 mg**Daily Value (DV) not established.
"Christopher's Original Formulas, X-INFX, 440 mg, 100 Vegetarian Caps",Herbal Formulas,,"Supplement FactsServing Size: 2 CapsulesServings per Container: 50 Amount Per Serving% Daily ValueProprietary BlendWildcrafted Black Walnut Leaf, Wildcrafted Goldenseal Root, Wildcrafted Bugleweed Herb, Wildcrafted Plantain Leaf, Wildcrafted Marshmallow Root, and Organic Lobelia Herb880 mg**Daily Value not established"
